# 手工校对的短例句。格式：目标词|英文|中文。优先于词典例句。
# 保留目标词的学习含义，尽量只引入基础词，不通过删除目标词缩短句子。
repository|Open this repository.|打开这个代码仓库。
branch|Make a new branch.|新建一个分支。
commit|Commit your code.|提交你的代码。
clone|Clone this project.|克隆这个项目。
fork|Fork this project on GitHub.|在 GitHub 上复刻这个项目。
merge|Merge these two branches.|合并这两个分支。
pull request|Please check my pull request.|请检查我的拉取请求。
issue|Open an issue for this bug.|为这个程序错误创建一个问题单。
release|Try the new release.|试试新发布的版本。
tag|Add a tag to this version.|给这个版本加一个标签。
checkout|Use checkout to change branches.|用 checkout 命令切换分支。
push|Push your code to GitHub.|把你的代码推送到 GitHub。
pull|Pull the new code.|拉取新代码。
remote|This remote has our code.|这个远程仓库存有我们的代码。
origin|Push your code to origin.|把你的代码推送到 origin。
conflict|There is a conflict in this file.|这个文件中有一处冲突。
contributor|She is a new contributor.|她是一位新贡献者。
maintainer|Ask the maintainer for help.|向维护者求助。
license|Read the license first.|先阅读许可证。
readme|Read the README for help.|阅读 README 获取帮助。
function|This function adds two numbers.|这个函数把两个数相加。
variable|Put your name in this variable.|把你的名字存入这个变量。
constant|This constant is always five.|这个常量的值始终是五。
parameter|This function has one parameter.|这个函数有一个参数。
argument|Use your name as the argument.|用你的名字作为实参。
return|Return the name.|返回名字。
class|Make a class for users.|创建一个表示用户的类。
object|This object has a name.|这个对象有一个名字。
array|This array has three names.|这个数组里有三个名字。
string|Your name is a string.|你的名字是一个字符串。
boolean|A boolean can be true or false.|布尔值可以是真或假。
integer|Five is an integer.|五是一个整数。
loop|This loop runs ten times.|这个循环运行十次。
condition|Check this condition first.|先检查这个条件。
operator|Use the plus operator.|使用加号运算符。
syntax|Check the syntax of this code.|检查这段代码的语法。
statement|This statement prints your name.|这条语句会打印你的名字。
expression|This expression adds two numbers.|这个表达式把两个数相加。
method|This method saves the file.|这个方法会保存文件。
property|Change the name property.|更改 name 属性。
interface|This interface has two methods.|这个接口有两个方法。
module|Add this module to your app.|把这个模块添加到你的应用中。
package|This package is free.|这个软件包是免费的。
install|Install this app.|安装这个应用。
command|Run this command.|运行这条命令。
terminal|Open a terminal here.|在这里打开终端。
directory|Open this directory.|打开这个目录。
path|Copy the file path.|复制文件路径。
file|Save this file.|保存这个文件。
folder|Make a new folder.|新建一个文件夹。
dependency|This app needs one dependency.|这个应用需要一个依赖项。
build|Build the app.|构建这个应用。
compile|Compile this code.|编译这段代码。
run|Run the app.|运行这个应用。
script|Run this script once.|运行一次这个脚本。
configuration|Save this configuration.|保存这个配置。
environment|Set up the test environment.|搭建测试环境。
component|This component shows a button.|这个组件显示一个按钮。
browser|Open your browser.|打开你的浏览器。
layout|I like this page layout.|我喜欢这个页面布局。
responsive|A responsive page fits small screens.|响应式页面能适应小屏幕。
database|Save the names in a database.|把这些名字存入数据库。
query|This query finds all the names.|这个查询会找出所有名字。
server|The server is down.|服务器无法正常运行。
request|Send a request for help.|发送一个求助请求。
response|The response says yes.|响应的内容是“是”。
endpoint|Send your name to this endpoint.|把你的名字发送到这个接口地址。
deploy|Deploy the app.|部署这个应用。
error|There is an error here.|这里有一个错误。
bug|I found a bug.|我发现了一个程序错误。
debug|Debug this code.|调试这段代码。
test|Write a test for this code.|为这段代码编写一个测试。
warning|Read this warning.|阅读这条警告。
authentication|This app uses password authentication.|这个应用使用密码验证身份。
permission|Ask for permission first.|先请求权限。
token|Keep your token safe.|保管好你的令牌。
encryption|Use encryption to keep data safe.|使用加密来保护数据安全。
algorithm|This algorithm sorts the names.|这个算法给名字排序。
dataset|This dataset has ten names.|这个数据集中有十个名字。
model|This model can read words.|这个模型可以识别单词。
prompt|Write a short prompt.|写一条简短的提示词。
ability|She has the ability to sing.|她有唱歌的能力。
able|I am able to help.|我能够帮忙。
about|This book is about cats.|这本书是关于猫的。
absent|Tom is absent today.|汤姆今天缺席了。
basketball|Let's play basketball.|我们打篮球吧。
